Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,3710.000000,3750.000000,3660.000000,3700.000000,3558.921143,169825000
2021-09-14,3720.000000,3730.000000,3660.000000,3700.000000,3558.921143,216363400
2021-09-15,3670.000000,3670.000000,3620.000000,3660.000000,3520.446289,263544000
2021-09-16,3650.000000,3660.000000,3610.000000,3640.000000,3501.208740,194782800
2021-09-17,3630.000000,3640.000000,3570.000000,3610.000000,3472.352783,346529100
2021-09-20,3590.000000,3590.000000,3510.000000,3590.000000,3453.115234,357971300
2021-09-21,3510.000000,3580.000000,3500.000000,3570.000000,3433.877930,410533900
2021-09-22,3520.000000,3650.000000,3520.000000,3610.000000,3472.352783,416087300
2021-09-23,3600.000000,3770.000000,3590.000000,3770.000000,3626.251953,432390800
2021-09-24,3790.000000,3860.000000,3770.000000,3820.000000,3674.345459,634549600
2021-09-27,3770.000000,3800.000000,3730.000000,3750.000000,3607.014648,380151200
2021-09-28,3770.000000,3770.000000,3690.000000,3720.000000,3578.158447,306827400
2021-09-29,3720.000000,3750.000000,3690.000000,3740.000000,3597.395752,143081800
2021-09-30,3760.000000,3870.000000,3750.000000,3850.000000,3703.201660,416099000
2021-10-01,3850.000000,3920.000000,3830.000000,3900.000000,3751.295166,359864700
2021-10-04,3900.000000,4010.000000,3890.000000,3970.000000,3818.625977,335762600
2021-10-05,3950.000000,3980.000000,3910.000000,3930.000000,3780.151367,236562700
2021-10-06,3920.000000,4150.000000,3920.000000,4120.000000,3962.906738,446708800
2021-10-07,4150.000000,4170.000000,4070.000000,4120.000000,3962.906738,264905400
2021-10-08,4190.000000,4240.000000,4130.000000,4160.000000,4001.381592,196631600
2021-10-11,4160.000000,4200.000000,4130.000000,4180.000000,4020.618896,146720100
2021-10-12,4180.000000,4240.000000,4180.000000,4220.000000,4059.093750,241196000
2021-10-13,4230.000000,4300.000000,4220.000000,4280.000000,4116.806152,264629400
2021-10-14,4280.000000,4350.000000,4230.000000,4250.000000,4087.949951,196989500
2021-10-15,4250.000000,4330.000000,4220.000000,4320.000000,4155.280762,318189600
2021-10-18,4350.000000,4410.000000,4340.000000,4410.000000,4241.849121,286829000
2021-10-19,4450.000000,4450.000000,4360.000000,4400.000000,4232.230469,161256300
2021-10-21,4450.000000,4460.000000,4320.000000,4360.000000,4193.755371,319230200
2021-10-22,4340.000000,4400.000000,4320.000000,4400.000000,4232.230469,160459300
2021-10-25,4330.000000,4370.000000,4300.000000,4300.000000,4136.043457,128240100
2021-10-26,4280.000000,4370.000000,4270.000000,4350.000000,4184.136719,108782400
2021-10-27,4330.000000,4340.000000,4260.000000,4290.000000,4126.424805,258038300
2021-10-28,4210.000000,4300.000000,4200.000000,4240.000000,4078.331055,159645200
2021-10-29,4300.000000,4300.000000,4220.000000,4250.000000,4087.949951,155011100
2021-11-01,4330.000000,4330.000000,4220.000000,4230.000000,4068.712402,102079300
2021-11-02,4270.000000,4270.000000,4210.000000,4210.000000,4049.475098,124799700
2021-11-03,4250.000000,4300.000000,4210.000000,4290.000000,4126.424805,100486300
